text,true_emotion,predicted_emotion
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",anger,anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger,anger
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger,fear
@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger,joy
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? ,anger,anger
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger,anger
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,anger
@__NETFLIXNCHILL I fuck with madden way harder,anger,joy
Sting is just too damn earnest for early morning listening. #sting,anger,anger
I hope my hustle don't offend nobody,anger,fear
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,joy
"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger,sadness
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger
i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger,sadness
@LeonWobYP b***er off. NCFC is a grudge match :),anger,joy
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger,anger
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,joy
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy
@joey_coops yes Hun! Avoid at all costs!! #nightmare,fear,anger
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan ",fear,anger
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,fear,sadness
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous,fear,fear
“We can easily #forgive a #child who is #afraid of the #dark; the real #tragedy of #life is when #men are #afraid of the #light.”–Plato,fear,sadness
I want to be a woman who #overcomes obstacles by tackling them in #faith instead of tiptoeing around them in #fear. Renee Swope,fear,fear
My Modern Proverb: 'Don't let anyone intimidate you about being single; most marriages end in divorce.',fear,joy
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,fear,joy
"#twitter #users Tweeting on twitter is like playing a game against the computer. Where's the life, Everyone too #afraid to say something?",fear,fear
That's an awful miss from Rooney.,fear,sadness
"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear,joy
"it's horrible cos no one can relate,  everyone is happy and dandy in one way or another",fear,sadness
Tweeting from the sporadic wifi on the tube ,fear,joy
There goes the butterflies in my stomach.  #anxietyproblems,fear,fear
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... #shocking",fear,anger
Bout ta get my @dontbreathe on up in here! @WarrenTheaters #nervous #icantholdmybreaththatlong,fear,fear
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,fear,fear
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,fear,joy
"The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now.",fear,anger
So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69,joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
"If yiu don't respond .o an email within 7 days, you willxbe killed by an animated gif of the girl froa The Ri.g.",joy,fear
A lifetime of laughter at the expense of the death of a bachelor,joy,joy
incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays,joy,joy
Dolores.' A thin lipped smile graced glossed lips as she let blues peer over at the woman. ' A constant delight.. As always.',joy,joy
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger
"Our tone of voice: we're like One Direction, we're thoughtful and timid, yet playful",joy,joy
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,joy
@harrietemmett great minds think alike. #rejoice,joy,joy
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,joy,sadness
@kwelbyroberts they will come and you will rejoice at their arrival.,joy,joy
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy,joy
@Gronnhair @buryprofs @DittoBistro it was indeed lovely and the team were incredibly attentive and on the ball. Cheese was a lively gesture!,joy,joy
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) #smile",joy,joy
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) ",joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day. #laughter #challenge #kashmir #baloch,joy,joy
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,joy,joy
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,anger
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay ",sadness,joy
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,sadness,sadness
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness,sadness
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness
Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,sadness
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
@trashcami this cured my depression,sadness,joy
On bedrest since I got out of the hospital. U find in unopened beer.. what do I do. Pour that shit out! No alcohol at all for me #sober,sadness,anger
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,sadness
Should of stayed in Dubai 😞,sadness,sadness
"Donating to Trump puts a damper on a very exciting @Cubs season. Really bad look, Ricketts family.",sadness,anger
If you #invest in my new #film I will stop asking you to invest in my new film. #concessions #crime #despair #shortsightedness #celebrities,sadness,anger
It feel like we lost a family member🙄😂,sadness,joy
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz ,sadness,sadness
My life went from happy to unhappy..,sadness,sadness
This shit hurting my heart 😪 that's how serious it is .,sadness,sadness
